shipment_id,order_id,carrier,shipped_date,delivered_date,delivery_service,shipment_status
976,1027,Yodel,2024-07-16,2024-07-18,Standard,Delayed
977,1028,Royal Mail,2024-04-09,2024-04-13,Next Day,Delivered
978,1030,Evri,2024-01-31,,Next Day,Delivered
979,1031,Royal Mail,2025-04-02,2025-04-04,Standard,Delivered
980,1032,DPD,2024-05-28,2024-05-29,Standard,Delivered
981,1033,Royal Mail,2024-02-22,,Standard,Delivered
982,1034,Royal Mail,2024-12-17,2024-12-19,Next Day,Delivered
983,1035,Yodel,2024-01-22,2024-01-23,Next Day,Delayed
984,1036,Yodel,2024-04-22,2024-04-23,Next Day,Delivered
985,1037,Royal Mail,2024-12-02,2024-12-03,Next Day,Delivered
986,1038,Royal Mail,2024-01-06,2024-01-09,Standard,Delayed
987,1039,Yodel,2025-05-07,2025-05-09,Click & Collect,Delivered
988,1040,Royal Mail,2025-09-24,2025-09-25,Click & Collect,Delivered
989,1041,DPD,2025-11-19,2025-11-20,Next Day,Delayed
990,1042,Royal Mail,2024-10-07,2024-10-08,Click & Collect,Delivered
991,1043,Royal Mail,2024-06-27,2024-06-28,Click & Collect,Delivered
992,1044,Royal Mail,2025-01-12,2025-01-13,Click & Collect,Lost
993,1045,Yodel,2025-04-27,2025-04-29,Click & Collect,Delayed
994,1046,Royal Mail,2024-08-26,2024-08-27,Click & Collect,Delivered
995,1048,Royal Mail,2025-12-08,2025-12-11,Standard,In Transit
996,1049,Yodel,2025-09-28,,Standard,Delayed
997,1050,Royal Mail,2024-02-02,2024-02-03,Next Day,Delivered
998,1051,Evri,2024-07-11,2024-07-12,Standard,Delivered
999,1052,Royal Mail,2025-02-01,2025-02-04,Next Day,Delivered
1000,1053,Yodel,2025-04-09,2025-04-12,Next Day,Delivered
1001,1054,DPD,2025-12-09,2025-12-11,Click & Collect,Delivered
1002,1055,Royal Mail,2025-03-05,2025-03-07,Click & Collect,In Transit
1003,1056,Royal Mail,2024-09-21,2024-09-22,Click & Collect,Delivered
1004,1057,DPD,2025-05-09,2025-05-11,Next Day,Delayed
1005,1058,Yodel,2024-07-01,2024-07-05,Standard,Delivered
1006,1059,DPD,2024-09-24,,Standard,Delivered
1007,1060,Royal Mail,2024-06-03,2024-06-06,Standard,In Transit
1008,1061,DPD,2024-03-09,,Click & Collect,Delivered
1009,1062,Evri,2024-12-30,,Click & Collect,In Transit
1010,1063,DPD,2025-05-19,2025-05-20,Standard,Delivered
1011,1064,DPD,2025-12-31,2026-01-01,Standard,Delivered
1012,1065,Evri,2024-12-23,2024-12-25,Click & Collect,Delivered
1013,1066,Evri,2024-06-24,2024-06-25,Standard,Delivered
1014,1067,Evri,2024-06-29,2024-07-01,Next Day,In Transit
1015,1068,Evri,2025-05-27,2025-05-28,Click & Collect,Delivered
1016,1069,Evri,2025-08-08,2025-08-09,Click & Collect,Delivered
1017,1070,Royal Mail,2025-12-26,2025-12-27,Next Day,Delivered
1018,1071,Yodel,2024-01-06,,Next Day,Delivered
1019,1072,Royal Mail,2024-10-05,2024-10-06,Next Day,Delivered
1020,1073,Evri,2024-01-27,2024-01-31,Next Day,Delivered
1021,1074,Royal Mail,2025-07-21,2025-07-24,Click & Collect,Delayed
1022,1075,DPD,2024-10-22,2024-10-23,Next Day,Delivered
1023,1076,DPD,2025-11-13,2025-11-14,Next Day,Delivered
1024,1077,DPD,2024-03-28,2024-03-29,Click & Collect,Delivered
1025,1078,Evri,2024-06-14,2024-06-16,Next Day,Delayed
1026,1079,Royal Mail,2025-12-17,2025-12-18,Click & Collect,Delivered
1027,1080,Yodel,2024-12-06,,Click & Collect,Delivered
1028,1081,Evri,2025-12-20,2025-12-21,Next Day,Delivered
1029,1082,DPD,2024-01-30,2024-02-01,Standard,In Transit
1030,1083,Royal Mail,2024-11-25,2024-11-28,Next Day,Delivered
1031,1084,Royal Mail,2024-02-06,2024-02-07,Standard,Delivered
1032,1085,Yodel,2024-08-01,2024-08-02,Standard,Delayed
1033,1086,Yodel,2025-02-23,2025-02-24,Standard,Delivered
1034,1087,Evri,2024-05-27,2024-05-30,Next Day,Delivered
1035,1088,DPD,2025-12-09,2025-12-12,Click & Collect,Delivered
1036,1089,Yodel,2024-12-31,2025-01-01,Click & Collect,Delivered
1037,1090,DPD,2024-11-28,2024-11-29,Click & Collect,Delayed
1038,1091,DPD,2025-11-10,2025-11-12,Standard,Delivered
1039,1092,Royal Mail,2024-09-07,2024-09-08,Standard,Delivered
1040,1093,Evri,2024-04-02,2024-04-03,Standard,Delivered
1041,1094,Evri,2024-05-26,2024-05-27,Next Day,Delivered
1042,1095,Yodel,2024-10-09,,Next Day,Delivered
1043,1096,Evri,2024-10-20,2024-10-22,Standard,Delivered
1044,1097,Royal Mail,2024-06-09,,Click & Collect,In Transit
1045,1098,Evri,2024-05-08,2024-05-10,Next Day,Delayed
1046,1099,Yodel,2025-12-19,2025-12-22,Click & Collect,Delayed
1047,1100,Royal Mail,2025-01-07,2025-01-09,Standard,Delivered
1048,1101,Evri,2024-06-26,2024-06-29,Click & Collect,Delayed
1049,1102,Royal Mail,2025-01-27,2025-01-29,Click & Collect,Delivered
1050,1103,Evri,2025-04-19,2025-04-22,Click & Collect,Delivered
1051,1104,DPD,2024-04-03,2024-04-07,Standard,In Transit
1052,1105,Royal Mail,2024-02-02,,Click & Collect,Delivered
1053,1106,DPD,2025-03-19,2025-03-21,Click & Collect,Delivered
1054,1107,Evri,2025-11-11,2025-11-14,Next Day,Delivered
1055,1108,Yodel,2025-12-29,2025-12-31,Standard,In Transit
1056,1109,Evri,2025-09-28,2025-10-02,Click & Collect,Delivered
1057,1110,Evri,2024-12-06,2024-12-09,Standard,Delivered
1058,1111,Evri,2025-08-12,2025-08-13,Click & Collect,Delivered
1059,1112,Yodel,2025-11-08,2025-11-09,Standard,Delivered
1060,1113,DPD,2025-11-04,2025-11-07,Next Day,Delivered
1061,1114,Royal Mail,2025-02-13,2025-02-15,Next Day,Delivered
1062,1115,Royal Mail,2024-07-19,2024-07-21,Click & Collect,Delayed
1063,1116,Evri,2025-05-09,2025-05-11,Click & Collect,Delivered
1064,1117,Evri,2025-06-10,2025-06-11,Next Day,Delivered
1065,1118,Royal Mail,2024-03-15,2024-03-17,Click & Collect,Delivered
1066,1119,Royal Mail,2024-09-02,2024-09-06,Next Day,Delivered
1067,1120,Royal Mail,2024-09-15,2024-09-16,Click & Collect,Delivered
1068,1121,Royal Mail,2024-07-10,2024-07-14,Next Day,Lost
1069,1122,Royal Mail,2024-12-23,2024-12-24,Standard,Delayed
1070,1123,Royal Mail,2024-07-16,2024-07-17,Standard,In Transit
1071,1124,DPD,2025-06-05,,Click & Collect,Delivered
1072,1125,Royal Mail,2025-12-12,2025-12-14,Click & Collect,Delivered
1073,1126,DPD,2024-06-21,2024-06-25,Click & Collect,Delivered
1074,1127,Evri,2025-01-26,2025-01-27,Next Day,Delivered
1075,1128,Royal Mail,2025-06-08,2025-06-10,Click & Collect,Delivered
1076,1129,DPD,2025-12-20,2025-12-21,Standard,Lost
1077,1130,Evri,2025-08-30,2025-08-31,Click & Collect,In Transit
1078,1131,DPD,2024-12-02,2024-12-04,Next Day,Delivered
1079,1132,Evri,2025-10-29,2025-10-30,Next Day,Delivered
1080,1133,DPD,2024-03-25,,Next Day,Delivered
1081,1134,Royal Mail,2025-05-27,2025-05-28,Click & Collect,Delivered
1082,1135,Royal Mail,2024-07-31,2024-08-01,Standard,Delayed
1083,1136,Yodel,2025-12-05,,Click & Collect,Delivered
1084,1137,Evri,2025-05-03,2025-05-04,Next Day,Delivered
1085,1138,Royal Mail,2024-06-14,2024-06-15,Next Day,In Transit
1086,1139,Evri,2024-12-05,2024-12-07,Click & Collect,Delivered
1087,1140,Royal Mail,2024-08-15,2024-08-18,Click & Collect,Delivered
1088,1141,Evri,2025-09-12,2025-09-15,Click & Collect,Delivered
1089,1142,DPD,2024-04-29,2024-05-01,Standard,Delivered
1090,1143,Yodel,2025-12-07,2025-12-08,Standard,Delayed
1091,1144,Royal Mail,2024-09-10,2024-09-11,Next Day,Delivered
1092,1145,DPD,2024-07-30,2024-08-01,Next Day,Delayed
1093,1146,Royal Mail,2025-10-21,2025-10-22,Click & Collect,Delivered
1094,1147,Evri,2024-11-16,2024-11-17,Next Day,Delivered
1095,1148,Royal Mail,2024-12-28,2024-12-30,Next Day,Delivered
1096,1149,Yodel,2025-12-01,2025-12-03,Next Day,Delayed
1097,1150,Royal Mail,2024-12-20,2024-12-21,Standard,Delivered
1098,1151,Royal Mail,2024-09-06,2024-09-08,Next Day,Delivered
1099,1152,Evri,2024-08-30,2024-08-31,Next Day,Delivered
1100,1153,Yodel,2024-02-05,2024-02-08,Standard,Delivered
1101,1154,DPD,2025-07-20,2025-07-23,Next Day,Delivered
1102,1155,Evri,2025-04-16,2025-04-19,Click & Collect,Delivered
1103,1156,Evri,2025-03-14,2025-03-15,Standard,Delivered
1104,1157,Evri,2024-06-06,2024-06-08,Standard,Delivered
1105,1158,Evri,2024-02-27,2024-02-28,Next Day,Delivered
1106,1159,DPD,2025-01-24,2025-01-25,Standard,Delivered
1107,1160,Evri,2025-06-07,2025-06-09,Next Day,Delivered
1108,1161,Royal Mail,2025-11-14,,Next Day,Delivered
1109,1162,Yodel,2024-12-17,2024-12-18,Click & Collect,Delivered
1110,1163,DPD,2024-04-23,2024-04-24,Next Day,Delivered
1111,1164,Evri,2025-04-28,2025-04-29,Standard,Delayed
1112,1165,Royal Mail,2025-05-11,2025-05-13,Click & Collect,Delivered
1113,1166,Yodel,2025-06-09,2025-06-10,Click & Collect,Delayed
1114,1167,DPD,2025-10-18,2025-10-19,Next Day,Delivered
1115,1168,Evri,2024-01-29,2024-01-30,Standard,Delivered
1116,1169,Yodel,2025-07-15,2025-07-17,Standard,Delivered
1117,1170,Evri,2025-12-20,2025-12-21,Standard,Delivered
1118,1171,Evri,2024-07-28,2024-07-29,Standard,In Transit
1119,1172,Royal Mail,2024-07-04,2024-07-05,Next Day,Delivered
1120,1173,Yodel,2024-09-01,2024-09-02,Standard,Delivered
1121,1174,Evri,2024-01-09,2024-01-11,Standard,Delivered
1122,1175,Yodel,2025-08-28,2025-08-31,Next Day,Delivered
1123,1176,DPD,2025-05-21,2025-05-22,Click & Collect,Delayed
1124,1177,Yodel,2024-08-30,,Standard,Delivered
1125,1178,Yodel,2025-04-18,2025-04-19,Click & Collect,Delivered
1126,1179,DPD,2024-11-23,2024-11-25,Next Day,Delivered
1127,1180,Yodel,2024-08-30,2024-09-01,Standard,In Transit
1128,1181,Royal Mail,2025-01-26,2025-01-27,Standard,In Transit
1129,1183,DPD,2025-06-09,2025-06-10,Next Day,Delivered
1130,1184,Royal Mail,2025-05-08,2025-05-09,Next Day,Delivered
1131,1185,DPD,2024-11-25,2024-11-26,Next Day,Delivered
1132,1186,Royal Mail,2024-09-02,2024-09-03,Click & Collect,In Transit
1133,1187,DPD,2024-10-21,2024-10-22,Click & Collect,In Transit
1134,1188,DPD,2025-02-11,2025-02-14,Standard,Delivered
1135,1189,Evri,2024-12-19,2024-12-20,Click & Collect,Delivered
1136,1190,Royal Mail,2024-04-19,2024-04-26,Standard,Delivered
1137,1191,Evri,2025-01-12,2025-01-18,Standard,Delivered
1138,1192,Royal Mail,2024-03-12,2024-03-14,Standard,Delivered
1139,1193,DPD,2024-05-22,2024-05-23,Next Day,Delivered
1140,1194,Evri,2024-12-19,2024-12-20,Click & Collect,Delivered
1141,1195,Evri,2025-08-18,2025-08-22,Next Day,Delivered
1142,1196,DPD,2024-07-15,2024-07-16,Next Day,In Transit
1143,1197,Yodel,2024-07-21,2024-07-23,Next Day,Delivered
1144,1198,DPD,2024-06-18,2024-06-19,Click & Collect,Delivered
1145,1199,DPD,2025-11-09,2025-11-12,Standard,In Transit
1146,1200,Royal Mail,2025-07-23,2025-07-25,Click & Collect,Delivered
1147,1201,Royal Mail,2025-08-26,2025-08-27,Standard,Delivered
1148,1202,Yodel,2024-05-02,2024-05-04,Click & Collect,Delivered
1149,1203,Evri,2024-11-21,2024-11-24,Standard,Delivered
1150,1204,Royal Mail,2024-01-15,2024-01-18,Click & Collect,Delivered
1151,1205,DPD,2025-06-20,2025-06-21,Next Day,Delivered
1152,1206,DPD,2025-04-03,2025-04-05,Click & Collect,Delivered
1153,1207,Royal Mail,2025-12-03,,Standard,Delivered
1154,1208,Royal Mail,2024-09-11,2024-09-13,Click & Collect,Delivered
1155,1209,DPD,2024-04-12,2024-04-13,Standard,Lost
1156,1210,DPD,2024-11-02,,Standard,Delivered
1157,1211,Royal Mail,2025-08-13,,Click & Collect,Delivered
1158,1212,Evri,2024-11-30,2024-12-01,Click & Collect,Delivered
1159,1213,Royal Mail,2025-07-21,2025-07-22,Click & Collect,Delayed
1160,1214,DPD,2024-05-17,2024-05-18,Next Day,Delivered
1161,1215,Yodel,2025-06-15,2025-06-16,Click & Collect,Delivered
1162,1217,Evri,2024-06-11,2024-06-12,Click & Collect,Delivered
1163,1218,Evri,2025-01-29,2025-02-01,Next Day,Delivered
1164,1219,Royal Mail,2024-10-17,2024-10-18,Click & Collect,Delayed
1165,1220,DPD,2024-08-10,,Click & Collect,In Transit
1166,1221,Evri,2025-12-19,2025-12-20,Next Day,In Transit
1167,1222,DPD,2024-10-25,2024-10-26,Next Day,In Transit
1168,1223,Yodel,2024-12-05,2024-12-06,Standard,Delivered
1169,1224,DPD,2025-01-16,2025-01-17,Standard,Delivered
1170,1225,Royal Mail,2025-04-09,2025-04-10,Next Day,Delayed
1171,1226,Yodel,2024-09-09,2024-09-10,Standard,Delivered
1172,1228,Yodel,2025-12-28,2025-12-31,Click & Collect,Delivered
1173,1229,Evri,2024-09-26,2024-09-27,Standard,Delivered
1174,1230,Evri,2025-07-19,2025-07-22,Standard,In Transit
1175,1231,Evri,2025-11-19,2025-11-23,Next Day,Delayed
1176,1232,Royal Mail,2024-05-09,,Click & Collect,Delivered
1177,1233,Evri,2024-10-21,2024-10-22,Click & Collect,Delivered
1178,1234,Royal Mail,2024-03-09,2024-03-11,Next Day,Delayed
1179,1235,Royal Mail,2024-04-05,2024-04-06,Standard,Delivered
1180,1236,Evri,2025-10-10,2025-10-11,Click & Collect,Delivered
1181,1237,Royal Mail,2025-03-21,2025-03-22,Standard,In Transit
1182,1238,Evri,2024-03-08,2024-03-10,Standard,Delayed
1183,1239,Yodel,2024-03-26,2024-03-31,Standard,Delayed
1184,1240,Evri,2025-03-03,2025-03-05,Standard,Delivered
1185,1241,Royal Mail,2025-11-27,2025-11-28,Standard,Delayed
1186,1242,Yodel,2024-01-22,2024-01-23,Standard,In Transit
1187,1243,Yodel,2025-10-17,2025-10-20,Next Day,Delivered
1188,1244,Evri,2025-10-15,2025-10-16,Click & Collect,Delivered
1189,1245,Royal Mail,2024-05-07,2024-05-09,Standard,Delivered
1190,1246,DPD,2024-06-01,2024-06-04,Next Day,Delivered
1191,1247,DPD,2024-11-15,2024-11-16,Standard,Delayed
1192,1248,DPD,2024-06-25,2024-06-27,Click & Collect,Delivered
1193,1249,DPD,2025-11-18,2025-11-20,Next Day,Delivered
1194,1250,DPD,2025-09-24,2025-09-25,Next Day,Delayed
1195,1251,Royal Mail,2024-05-02,2024-05-03,Standard,Delayed
1196,1252,DPD,2024-11-28,2024-11-29,Standard,Delayed
1197,1253,Royal Mail,2024-11-29,,Standard,Delayed
1198,1254,DPD,2025-06-17,2025-06-18,Standard,Delivered
1199,1255,DPD,2024-12-25,2024-12-27,Next Day,Delayed
1200,1256,DPD,2025-07-12,2025-07-14,Standard,Delivered
1201,1257,Yodel,2025-10-08,2025-10-11,Click & Collect,Delivered
1202,1258,Yodel,2025-02-23,,Click & Collect,Delivered
1203,1259,Evri,2024-07-31,,Click & Collect,Delivered
1204,1260,Evri,2024-09-16,2024-09-17,Next Day,Delivered
1205,1261,Yodel,2024-11-18,2024-11-19,Standard,Delivered
1206,1262,Evri,2025-10-24,,Next Day,Delivered
1207,1263,Evri,2024-05-07,2024-05-09,Click & Collect,Delivered
1208,1264,Evri,2024-02-28,2024-02-29,Standard,Delivered
1209,1266,Evri,2025-09-20,2025-09-22,Standard,Delivered
1210,1267,Yodel,2024-02-06,2024-02-07,Click & Collect,In Transit
1211,1268,Royal Mail,2025-04-11,2025-04-12,Click & Collect,Delivered
1212,1269,Royal Mail,2024-03-31,2024-04-01,Standard,Delivered
1213,1271,Royal Mail,2024-03-28,2024-03-30,Click & Collect,In Transit
1214,1272,DPD,2024-06-24,2024-06-25,Next Day,Delivered
1215,1273,DPD,2025-02-18,2025-02-20,Standard,Delivered
1216,1274,Evri,2024-09-27,2024-09-30,Click & Collect,Delivered
1217,1275,Royal Mail,2024-09-22,2024-09-23,Next Day,Delivered
1218,1277,DPD,2024-12-17,2024-12-19,Click & Collect,Delivered
1219,1278,DPD,2024-11-21,2024-11-23,Standard,Delivered
1220,1279,Yodel,2024-05-08,2024-05-09,Click & Collect,Delivered
1221,1280,Royal Mail,2025-04-22,2025-04-24,Click & Collect,Delayed
1222,1281,Yodel,2025-01-28,2025-01-29,Next Day,Delivered
1223,1282,Yodel,2025-11-22,2025-11-23,Standard,Delivered
1224,1283,DPD,2024-06-12,2024-06-13,Click & Collect,Delayed
1225,1284,Evri,2025-07-26,2025-07-27,Next Day,Delivered
1226,1285,DPD,2025-04-20,2025-04-21,Standard,Delivered
1227,1286,Royal Mail,2025-11-15,2025-11-16,Standard,Delivered
1228,1287,Royal Mail,2025-02-09,2025-02-10,Next Day,Delayed
1229,1288,Evri,2024-08-15,2024-08-16,Next Day,Delivered
1230,1289,Royal Mail,2024-11-29,2024-11-30,Click & Collect,Delivered
1231,1291,Royal Mail,2024-11-17,2024-11-18,Next Day,Delivered
1232,1292,DPD,2025-01-12,2025-01-14,Standard,Delivered
1233,1293,DPD,2024-02-15,2024-02-16,Next Day,Delivered
1234,1294,Evri,2024-09-18,2024-09-21,Click & Collect,Delivered
1235,1295,Royal Mail,2025-12-03,2025-12-05,Click & Collect,Lost
1236,1296,Yodel,2024-12-28,2024-12-29,Click & Collect,Delivered
1237,1298,Royal Mail,2025-06-13,2025-06-14,Click & Collect,Delivered
1238,1299,Evri,2024-10-24,2024-10-26,Standard,Lost
1239,1300,Evri,2024-10-14,,Click & Collect,Delivered
1240,1301,DPD,2024-05-06,2024-05-07,Next Day,Delivered
1241,1302,DPD,2024-12-11,2024-12-15,Next Day,Delivered
1242,1303,Royal Mail,2024-05-14,2024-05-16,Click & Collect,Delivered
1243,1304,Royal Mail,2024-08-18,2024-08-22,Standard,Delivered
1244,1305,DPD,2024-11-17,2024-11-18,Click & Collect,Delivered
1245,1306,Evri,2025-09-10,2025-09-12,Next Day,Delayed
1246,1307,DPD,2024-03-13,2024-03-15,Next Day,Lost
1247,1308,Royal Mail,2024-06-05,2024-06-06,Standard,In Transit
1248,1309,Yodel,2025-04-01,2025-04-02,Click & Collect,Delivered
1249,1310,Royal Mail,2024-12-22,2024-12-23,Next Day,Delivered
1250,1311,Evri,2025-07-02,2025-07-05,Next Day,Delivered
1251,1312,DPD,2024-04-04,2024-04-05,Standard,Delivered
1252,1313,Royal Mail,2025-10-14,,Click & Collect,Delivered
1253,1314,Evri,2024-01-15,,Click & Collect,Delivered
1254,1315,Royal Mail,2025-08-10,2025-08-13,Standard,Delivered
1255,1316,DPD,2025-04-09,2025-04-10,Next Day,Delivered
1256,1317,Evri,2025-11-14,2025-11-15,Next Day,Delivered
1257,1319,Yodel,2024-11-06,2024-11-07,Standard,Delivered
1258,1320,Evri,2024-06-22,2024-06-23,Click & Collect,Delivered
1259,1321,Yodel,2025-12-06,2025-12-08,Next Day,Delivered
1260,1322,DPD,2025-12-31,2026-01-03,Next Day,Delivered
1261,1323,Royal Mail,2024-11-01,2024-11-02,Next Day,Delivered
1262,1324,Royal Mail,2024-09-25,2024-09-26,Click & Collect,Delivered
1263,1325,DPD,2025-02-01,2025-02-02,Click & Collect,Delivered
1264,1326,DPD,2024-08-19,2024-08-22,Next Day,Delayed
1265,1327,Evri,2025-01-28,2025-01-31,Standard,Delayed
1266,1328,Royal Mail,2024-03-02,2024-03-04,Standard,Delayed
1267,1329,DPD,2024-09-22,2024-09-25,Next Day,Delivered
1268,1330,DPD,2024-02-17,2024-02-20,Click & Collect,Delivered
1269,1331,DPD,2024-08-17,2024-08-18,Standard,Delivered
1270,1332,DPD,2025-12-21,2025-12-22,Standard,Delivered
1271,1333,DPD,2025-08-22,2025-08-23,Next Day,In Transit
1272,1334,Yodel,2024-02-04,2024-02-08,Click & Collect,Delivered
1273,1335,Yodel,2025-07-27,2025-07-29,Next Day,Delivered
1274,1336,Evri,2025-06-04,2025-06-05,Standard,Delivered
1275,1337,Evri,2024-12-04,2024-12-05,Next Day,Delivered
1276,1338,Royal Mail,2025-10-01,2025-10-04,Standard,Delivered
1277,1339,Royal Mail,2024-03-14,2024-03-15,Click & Collect,Delayed
1278,1340,DPD,2024-12-08,2024-12-09,Click & Collect,Delayed
1279,1341,Yodel,2025-02-23,2025-02-24,Standard,Delivered
1280,1342,Evri,2025-07-25,2025-07-26,Click & Collect,Delivered
1281,1343,Evri,2024-05-13,2024-05-15,Click & Collect,Delivered
1282,1344,Evri,2024-05-09,2024-05-12,Next Day,Delivered
1283,1345,Royal Mail,2025-04-02,2025-04-03,Next Day,Delivered
1284,1346,Royal Mail,2024-11-21,2024-11-22,Click & Collect,Delivered
1285,1347,Yodel,2024-07-09,2024-07-12,Next Day,In Transit
1286,1348,DPD,2024-12-29,2024-12-30,Standard,Delayed
1287,1349,Evri,2025-02-11,2025-02-14,Click & Collect,Delivered
1288,1350,DPD,2024-09-27,2024-10-02,Click & Collect,Delayed
1289,1351,DPD,2025-08-30,2025-09-01,Click & Collect,Delivered
1290,1352,Royal Mail,2024-12-02,2024-12-04,Click & Collect,Delivered
1291,1353,Royal Mail,2024-07-02,2024-07-04,Next Day,Delivered
1292,1354,Royal Mail,2024-01-22,2024-01-23,Click & Collect,Delayed
1293,1355,Royal Mail,2024-08-29,2024-08-31,Click & Collect,Delivered
1294,1356,Yodel,2025-12-09,2025-12-10,Standard,Delivered
1295,1357,Yodel,2024-04-29,2024-04-30,Click & Collect,Delivered
1296,1358,Royal Mail,2024-07-16,2024-07-17,Standard,Delivered
1297,1359,Yodel,2025-10-05,2025-10-06,Click & Collect,In Transit
1298,1360,DPD,2025-11-02,2025-11-03,Next Day,Delivered
1299,1361,DPD,2025-01-25,2025-01-29,Next Day,Delivered
1300,1362,Royal Mail,2025-04-23,2025-04-24,Next Day,In Transit
1301,1363,DPD,2024-12-05,,Click & Collect,Delivered
1302,1364,DPD,2025-04-21,2025-04-24,Next Day,Delivered
1303,1365,Evri,2024-02-28,2024-02-29,Click & Collect,In Transit
1304,1366,Royal Mail,2024-02-14,2024-02-17,Click & Collect,Delivered
1305,1367,Yodel,2025-10-01,2025-10-04,Next Day,Delayed
1306,1368,Royal Mail,2024-03-28,2024-03-31,Click & Collect,Delivered
1307,1369,Royal Mail,2025-09-20,2025-09-22,Click & Collect,Delivered
1308,1370,DPD,2024-08-19,2024-08-22,Click & Collect,Delayed
1309,1371,DPD,2025-06-12,2025-06-14,Standard,Delivered
1310,1372,Royal Mail,2024-04-04,2024-04-06,Click & Collect,Delivered
1311,1373,Royal Mail,2025-05-11,2025-05-16,Click & Collect,Delivered
1312,1374,Royal Mail,2024-01-23,2024-01-27,Click & Collect,Delivered
1313,1375,Yodel,2024-03-30,,Click & Collect,Delayed
1314,1376,Evri,2024-01-22,2024-01-25,Standard,Delivered
1315,1377,DPD,2025-12-02,2025-12-03,Standard,Delivered
1316,1378,Evri,2024-02-17,2024-02-18,Click & Collect,In Transit
1317,1379,Evri,2025-06-15,2025-06-16,Click & Collect,Delivered
1318,1380,Yodel,2024-12-28,2024-12-29,Click & Collect,Delivered
1319,1381,Evri,2024-06-13,2024-06-15,Next Day,Delivered
1320,1382,Evri,2025-12-03,2025-12-05,Standard,In Transit
1321,1383,Yodel,2025-07-26,2025-07-27,Standard,Delivered
1322,1385,Evri,2024-06-13,2024-06-16,Click & Collect,In Transit
1323,1386,Evri,2024-02-26,2024-02-27,Standard,Delivered
1324,1387,Royal Mail,2025-07-30,2025-07-31,Standard,Delivered
1325,1389,Royal Mail,2025-02-09,2025-02-10,Standard,Delivered
1326,1390,Royal Mail,2024-08-01,2024-08-02,Click & Collect,Delivered
1327,1391,Evri,2025-11-02,2025-11-04,Standard,Delivered
1328,1392,Royal Mail,2024-08-24,,Standard,Delivered
1329,1393,DPD,2024-09-13,,Standard,Delivered
1330,1394,Royal Mail,2025-01-24,2025-01-25,Click & Collect,Delivered
1331,1395,DPD,2025-08-30,2025-08-31,Next Day,Delivered
1332,1396,Evri,2024-06-04,2024-06-06,Standard,In Transit
1333,1397,DPD,2024-11-27,2024-11-28,Next Day,Delivered
1334,1398,Yodel,2024-06-14,2024-06-15,Click & Collect,Lost
1335,1399,Evri,2025-04-02,2025-04-03,Click & Collect,Lost
1336,1400,DPD,2024-12-09,2024-12-10,Standard,Delivered
1337,1401,Yodel,2024-12-18,2024-12-21,Click & Collect,Delivered
1338,1402,DPD,2024-10-09,2024-10-11,Click & Collect,In Transit
1339,1403,Evri,2025-12-26,2025-12-27,Click & Collect,Delivered
1340,1404,DPD,2024-04-29,2024-04-30,Click & Collect,In Transit
1341,1405,Royal Mail,2025-12-22,2025-12-24,Click & Collect,Delayed
1342,1406,DPD,2024-01-27,2024-01-29,Next Day,Delayed
1343,1407,Yodel,2024-11-02,2024-11-03,Standard,Delivered
1344,1408,Evri,2025-12-16,2025-12-19,Standard,Delivered
1345,1409,DPD,2024-01-28,2024-01-31,Next Day,Delivered
1346,1410,DPD,2024-05-01,2024-05-04,Standard,Delivered
1347,1411,DPD,2024-02-26,2024-02-28,Click & Collect,Delivered
1348,1412,DPD,2024-01-31,2024-02-02,Standard,Delivered
1349,1413,Royal Mail,2024-09-30,,Next Day,Delivered
1350,1414,Evri,2024-09-21,2024-09-22,Click & Collect,Delayed
1351,1415,Royal Mail,2025-01-07,2025-01-08,Click & Collect,In Transit
1352,1416,Royal Mail,2025-04-19,2025-04-20,Click & Collect,In Transit
1353,1417,Yodel,2025-04-26,2025-04-27,Next Day,Delivered
1354,1419,Evri,2024-11-28,2024-11-30,Standard,Delivered
1355,1420,Royal Mail,2025-01-05,2025-01-06,Standard,Delivered
1356,1421,Evri,2025-03-22,2025-03-23,Click & Collect,Delivered
1357,1423,DPD,2025-11-21,2025-11-22,Standard,Delivered
1358,1424,Royal Mail,2024-04-02,2024-04-03,Next Day,Delayed
1359,1425,Royal Mail,2025-12-22,2025-12-23,Next Day,Lost
1360,1426,Royal Mail,2025-05-22,2025-05-26,Next Day,Delivered
1361,1427,DPD,2024-07-22,2024-07-24,Next Day,Delivered
1362,1428,Royal Mail,2025-05-10,2025-05-14,Next Day,Delivered
1363,1429,Yodel,2025-07-26,2025-07-28,Next Day,Delivered
1364,1430,DPD,2025-04-29,2025-04-30,Click & Collect,Delivered
1365,1431,Royal Mail,2025-03-19,2025-03-22,Standard,Delivered
1366,1432,Royal Mail,2024-01-06,2024-01-08,Standard,In Transit
1367,1433,DPD,2024-05-13,2024-05-14,Click & Collect,Delivered
1368,1434,Evri,2024-11-16,2024-11-17,Click & Collect,Delivered
1369,1435,DPD,2025-04-11,2025-04-13,Standard,Delivered
1370,1436,Royal Mail,2025-12-17,2025-12-18,Next Day,Delivered
1371,1437,DPD,2024-02-18,2024-02-19,Next Day,Delivered
1372,1438,Yodel,2024-08-20,2024-08-22,Next Day,Delivered
1373,1439,Evri,2025-09-23,2025-09-25,Click & Collect,Delayed
1374,1440,Royal Mail,2025-12-17,,Standard,Delivered
